Gymnastics,0,-7,10,-7,-2,2,0,5,-1.0,3.0,-2.0,0.0,6.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1761751700000005,0.4696665299999978,0.4696665400000022
Handball,0,0,0,0,0,0,0,0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30365609000000005,0.08340698999999985,0.08340699000000029
Ice Hockey,0,0,0,0,0,0,1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02467658,-0.0033909199999999987,-0.003390920000000002
Jeu de Paume,0,0,0,0,1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04140619,-0.004387299999999997,-0.004387309999999998
Judo,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,6.0,0.0,2.0,0.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.18306950999999927,0.5616231499999991,0.56162314
Karate,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-8.0,0.91789474,0.03929823999999993,0.03929824999999998
Lacrosse,0,0,1,-1,1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08838891,-0.009106740000000002,-0.009106729999999993
Modern Pentathlon,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49436722,0.06402571000000012,0.06402570999999968
Polo,0,1,-1,0,1,-1,1,0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14011249,-0.01795099,-0.017950980000000005
Rackets,0,0,0,0,2,-2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08281237,-0.008774610000000002,-0.008774610000000002
